,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,max,maximum
475,0.08761277282037726,0.08677742662484629,0.09239779531775597,0.09040096503770934,0.08656900706039436,0.08433020404307327,2014,3,浙江省,0.7074003160622161,1.0701747721499573
508,0.08117360743267177,0.08111556068893093,0.0765578615298518,0.08541111964413285,0.0825458298766677,0.09311793315134802,2014,4,浙江省,0.7074003160622161,1.0701747721499573
541,0.08608174582687056,0.09358424910182982,0.07223461447127909,0.07314592718320874,0.08004803201165185,0.10870969619645547,2014,5,浙江省,0.7074003160622161,1.0701747721499573
574,0.07105050892262207,0.06869240575227033,0.056439959899037793,0.05844896122513641,0.06885399996742789,0.11018481264052121,2014,6,浙江省,0.7074003160622161,1.0701747721499573
607,0.05356662523612778,0.05671197694157726,0.04808318605752337,0.048704987271644,0.058584113087146596,0.08523522889293764,2014,7,浙江省,0.7074003160622161,1.0701747721499573
640,0.06353785196657512,0.0635010438481975,0.06089976414729589,0.057999233285284266,0.078642110301691,0.08722548859001417,2014,8,浙江省,0.7074003160622161,1.0701747721499573
673,0.06605643805470315,0.06540965725316594,0.0656070056783229,0.057858062523907655,0.07057757563704642,0.09198768893938793,2014,9,浙江省,0.7074003160622161,1.0701747721499573
706,0.07528885168287944,0.08123977783632924,0.08117348163907188,0.08029765537610511,0.07171548886761314,0.10424625424411162,2014,10,浙江省,0.7074003160622161,1.0701747721499573
739,0.08998442716319653,0.09156600740213677,0.09836141951259585,0.11064868110499675,0.09760496332179935,0.0625311504415959,2014,11,浙江省,0.7074003160622161,1.0701747721499573
772,0.09813361013799551,0.11227088312908963,0.14602386427414638,0.13286844834686765,0.10330277801666718,0.05094526715144558,2014,12,浙江省,0.7074003160622161,1.0701747721499573
805,0.13805202629764732,0.13754892140351882,0.1454101896121224,0.13778696394816423,0.12137765397734802,0.055047880100980356,2015,1,浙江省,0.7352236353397812,1.0701747721499573
838,0.10040267298587469,0.09562118168014025,0.07727523806792085,0.07852557908963671,0.09636722909732208,0.07455363996802587,2015,2,浙江省,0.7352236353397812,1.0701747721499573
871,0.07820785742337973,0.07817561097603751,0.078456331655209,0.08641964454355236,0.08285786970561967,0.08022285027724022,2015,3,浙江省,0.7352236353397812,1.0701747721499573
904,0.08271912463777939,0.08523066009640401,0.08718455770374493,0.0866639683317399,0.07597655177398464,0.09927559316478515,2015,4,浙江省,0.7352236353397812,1.0701747721499573
