,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
603,39.217229276083195,54.39222109087362,19.056860707580523,15.695203659815183,632.3080657352547,62.639181420525205,2014,7,江西省,2014下半年,1
608,55.09146470658254,80.43019655949247,21.142426695234693,18.547393996305555,864.0658629704576,57.26646072337067,2014,7,湖北省,2014下半年,1
620,22.10341322693097,24.451441805009868,1.9211299178804386,2.0021992142096354,251.22848296104078,67.96907093646156,2014,7,新疆维吾尔自治区,2014下半年,1
600,30.386792342904698,41.30268166136417,11.780279640368894,12.082803075456757,547.5080041077686,65.69645611332608,2014,7,福建省,2014下半年,1
625,38.1807061117078,51.15707466390134,12.596668763296833,13.703541942891002,528.4864243711138,61.304516192815896,2014,7,吉林省,2014下半年,1
613,44.41071886200717,63.20695564516129,17.662781810035842,38.24637709080048,762.2030316606929,60.35850350955794,2014,7,上海市,2014下半年,1
596,26.499733650781582,32.88947336961917,9.38858724757795,5.6602028975865055,453.57075209678425,59.32381324411835,2014,7,云南省,2014下半年,1
617,67.75622537442395,112.38150596038145,38.470955991850154,37.632894035884966,1320.0070537847755,60.66651527031064,2014,7,山东省,2014下半年,1
618,36.810901379149136,55.55875123110488,21.566627154433537,14.97986455508805,585.6498987065606,60.961468676951846,2014,7,宁夏回族自治区,2014下半年,1
622,78.85883819272125,115.0922094017094,27.119585090984287,45.37500303280948,1341.6157637165702,51.16729194237663,2014,7,天津市,2014下半年,1
621,17.819681567179664,23.88363063883701,8.158971360057473,5.477191902325035,301.00489031727824,60.6254776361277,2014,7,内蒙古自治区,2014下半年,1
626,24.487427960722815,29.871710764213546,6.835923612734404,7.575117484156671,383.45944366526686,58.0038949656836,2014,7,黑龙江省,2014下半年,1
599,16.263534792137524,20.173699666689494,6.529987455197133,16.125135778371344,193.6378558546218,58.46954430061867,2014,7,台湾省,2014下半年,1
615,25.09687144942083,33.33374007606873,7.707580853792668,5.67593836913717,419.2409269386412,68.59096680838219,2014,7,甘肃省,2014下半年,1
594,20.31825765984507,29.23649855474621,5.667694982078853,6.823389663544918,359.37637877211245,55.42730581570123,2014,7,海南省,2014下半年,1
807,52.294131650098215,75.4017617331853,17.351761994388387,23.233567918823308,932.546193945067,51.63576386285157,2015,1,安徽省,2015上半年,0
800,52.43648202707599,75.86051176268238,18.41015624759216,18.048899125036,1032.0308457393355,51.50257419270137,2015,1,湖南省,2015上半年,0
